"title","publication_date","category","author","like_counts_per_date"
"Montreal Hawks Minor League Baseball Team Wins Championship","2029-10-17","Sports","Aaron Bishop","2029-10-17:378|2029-10-18:513|2029-10-20:695|2029-10-23:327|2029-10-27:183|2029-11-01:290|2029-11-07:614"
"Governer John Birch Re-Instated","2029-10-17","Politics","Sara Fierro","2029-10-17:545|2029-10-18:124|2029-10-20:903|2029-10-23:949|2029-10-27:910|2029-11-01:484|2029-11-07:179"
"Alternatives To Water That Provide Double The Hydration","2029-10-17","Health","Aaron Bishop","2029-10-17:121|2029-10-18:414|2029-10-20:428|2029-10-23:779|2029-10-27:356|2029-11-01:728|2029-11-07:188"
"Quantum Computing Applications In Education","2029-10-17","Technology","Donna Veruca","2029-10-17:118|2029-10-18:907|2029-10-20:615|2029-10-23:295|2029-10-27:520|2029-11-01:288|2029-11-07:484"
"Import Tarrifs Have Been Reduced By 20%","2029-10-17","Business","Donna Veruca","2029-10-17:360|2029-10-18:177|2029-10-20:620|2029-10-23:910|2029-10-27:156|2029-11-01:791|2029-11-07:830"
"Flurries Begin The Winter Season Early","2029-10-17","Weather","Jacob Mills","2029-10-17:878|2029-10-18:910|2029-10-20:335|2029-10-23:455|2029-10-27:605|2029-11-01:300|2029-11-07:313"
"Traffic On Wednesday Morning Is Bumper To Bumper From West-Island to Downtown Montreal","2029-10-17","Traffic","Jacob Mills","2029-10-17:197|2029-10-18:620|2029-10-20:895|2029-10-23:373|2029-10-27:844|2029-11-01:214|2029-11-07:481"
"Quebec Cardinals Join Canadian Elite Basketball League","2029-10-18","Sports","Kirby Crawford","2029-10-18:271|2029-10-19:865|2029-10-21:814|2029-10-24:839|2029-10-28:186|2029-11-02:256|2029-11-08:691"
"Elections Have Been So Far Split 50/50","2029-10-18","Politics","Julie Bates","2029-10-18:362|2029-10-19:576|2029-10-21:364|2029-10-24:221|2029-10-28:408|2029-11-02:396|2029-11-08:641"
"Exercise Before Playing Team Sports Results In Burning Double The Calories","2029-10-18","Health","Kirby Crawford","2029-10-18:764|2029-10-19:462|2029-10-21:910|2029-10-24:324|2029-10-28:751|2029-11-02:147|2029-11-08:514"
"The Differences Between Nanochips and Microchips","2029-10-18","Technology","Karen Bruin","2029-10-18:654|2029-10-19:293|2029-10-21:639|2029-10-24:660|2029-10-28:888|2029-11-02:368|2029-11-08:304"
"Small Business Average Performance On The Rise","2029-10-18","Business","Karen Bruin","2029-10-18:860|2029-10-19:388|2029-10-21:573|2029-10-24:830|2029-10-28:342|2029-11-02:514|2029-11-08:145"
